alias,lang_id,source
openrc,openrc-runscript,linguist
AFDKO,opentype-feature-file,linguist
opts,option-list,linguist
ackrc,option-list,linguist
inc,php,linguist
pov-ray,pov-ray-sdl,linguist
povray,pov-ray-sdl,linguist
pasm,parrot-assembly,linguist
pir,parrot-internal-representation,linguist
delphi,pascal,linguist
objectpascal,pascal,linguist
cperl,perl,linguist
pikchr,pic,linguist
postscr,postscript,linguist
posh,powershell,linguist
pwsh,powershell,linguist
proto,protocol-buffer,linguist
protobuf,protocol-buffer,linguist
Protocol Buffers,protocol-buffer,linguist
text proto,protocol-buffer-text-format,linguist
protobuf text format,protocol-buffer-text-format,linguist
python3,python,linguist
rusthon,python,linguist
pycon,python-console,linguist
qsharp,q-sharp,linguist
qb,quickbasic,linguist
qbasic,quickbasic,linguist
qb64,quickbasic,linguist
classic qbasic,quickbasic,linguist
classic quickbasic,quickbasic,linguist
Rscript,r,linguist
splus,r,linguist
arexx,rexx,linguist
rosmsg,ros-interface,linguist
rpcgen,rpc,linguist
oncrpc,rpc,linguist
xdr,rpc,linguist
ile rpg,rpgle,linguist
sqlrpgle,rpgle,linguist
specfile,rpm-spec,linguist
ragel-rb,ragel,linguist
ragel-ruby,ragel,linguist
perl6,raku,linguist
perl-6,raku,linguist
raw,raw-token-data,linguist
inputrc,readline-config,linguist
readline,readline-config,linguist
red/system,red,linguist
redirects,redirect-rules,linguist
regexp,regular-expression,linguist
regex,regular-expression,linguist
renpy,ren-py,linguist
coq,rocq-prover,linguist
rocq,rocq-prover,linguist
groff,roff,linguist
man,roff,linguist
manpage,roff,linguist
man page,roff,linguist
man-page,roff,linguist
mdoc,roff,linguist
nroff,roff,linguist
troff,roff,linguist
jruby,ruby,linguist
macruby,ruby,linguist
rake,ruby,linguist
rb,ruby,linguist
rbx,ruby,linguist
rs,rust,linguist
SELinux Kernel Policy Language,selinux-policy,linguist
sepolicy,selinux-policy,linguist
sshconfig,ssh-config,linguist
sshdconfig,ssh-config,linguist
ssh_config,ssh-config,linguist
sshd_config,ssh-config,linguist
ascii stl,stl,linguist
stla,stl,linguist
saltstate,saltstack,linguist
salt,saltstack,linguist
sh,shell,linguist
shell-script,shell,linguist
bash,shell,linguist
zsh,shell,linguist
envrc,shell,linguist
shellcheckrc,shellcheck-config,linguist
bash session,shellsession,linguist
console,shellsession,linguist
sfv,simple-file-verification,linguist
coccinelle,smpl,linguist
squeak,smalltalk,linguist
snakefile,snakemake,linguist
sourcemod,sourcepawn,linguist
sml,standard-ml,linguist
bazel,starlark,linguist
bzl,starlark,linguist
travelling salesman problem,tsplib-data,linguist
traveling salesman problem,tsplib-data,linguist
tab-seperated values,tsv,linguist
sdc,tcl,linguist
xdc,tcl,linguist
latex,tex,linguist
fundamental,text,linguist
plain text,text,linguist
tm-properties,textmate-properties,linguist
torrc,tor-config,linguist
tsq,tree-sitter-query,linguist
tl,type-language,linguist
ts,typescript,linguist
tsp,typespec,linguist
typ,typst,linguist
gas,unix-assembly,linguist
gnu asm,unix-assembly,linguist
unix asm,unix-assembly,linguist
Ur/Web,urweb,linguist
Ur,urweb,linguist
vlang,v,linguist
visual basic for applications,vba,linguist
keyvalues,valve-data-format,linguist
vdf,valve-data-format,linguist
vtl,velocity-template-language,linguist
velocity,velocity-template-language,linguist
help,vim-help-file,linguist
vimhelp,vim-help-file,linguist
vim,vim-script,linguist
viml,vim-script,linguist
nvim,vim-script,linguist
vimscript,vim-script,linguist
SnipMate,vim-snippet,linguist
UltiSnip,vim-snippet,linguist
UltiSnips,vim-snippet,linguist
NeoSnippet,vim-snippet,linguist
visual basic,visual-basic-net,linguist
vbnet,visual-basic-net,linguist
vb .net,visual-basic-net,linguist
vb.net,visual-basic-net,linguist
vb6,visual-basic-6-0,linguist
vb 6,visual-basic-6-0,linguist
visual basic 6,visual-basic-6-0,linguist
visual basic classic,visual-basic-6-0,linguist
classic visual basic,visual-basic-6-0,linguist
Workflow Description Language,wdl,linguist
wast,webassembly,linguist
wasm,webassembly,linguist
wit,webassembly-interface-type,linguist
vtt,webvtt,linguist
wgetrc,wget-config,linguist
mediawiki,wikitext,linguist
wiki,wikitext,linguist
mathematica,wolfram-language,linguist
mma,wolfram-language,linguist
wolfram,wolfram-language,linguist
wolfram lang,wolfram-language,linguist
wl,wolfram-language,linguist
wrenlang,wren,linguist
xbm,x-bitmap,linguist
xpm,x-pixmap,linguist
xten,x10,linguist
rss,xml,linguist
xsd,xml,linguist
wsdl,xml,linguist
xsl,xslt,linguist
yml,yaml,linguist
snippet,yasnippet,linguist
yas,yasnippet,linguist
bro,zeek,linguist
curlrc,curl-config,linguist
cron,crontab,linguist
cron table,crontab,linguist
iCal,icalendar,linguist
rst,restructuredtext,linguist
robots,robots-txt,linguist
robots txt,robots-txt,linguist
virtual contact file,vcard,linguist
electronic business card,vcard,linguist
advpl,xbase,linguist
clipper,xbase,linguist
foxpro,xbase,linguist
!@$%^&*()+,+,self
"+=-, -=+",+-+,self
+-= PDA,+-pda,self
"+-""quote",+-quote,self
+Output,+output,self
(0),0,self
0+,0+,self
")0,1(",0-1,self
∫【0……10】（C²+3C+2）dC,0-10-c2+3c+2-dc,self
"0 Bits, 0 Bytes",0-bits-0-bytes,self
"0 bits, an eight byte",0-bits-an-eight-byte,self
ℵ₀ Bytes ^ ^,0-bytes,self
0 bytes XD,0-bytes-xd,self
0(nop^),0-nop,self
01,01,self
(0123456789!,0123456789,self
0134,0134,self
0587,0587,self
05AB1E,05ab1e,self
0815,0815,self
0bIN,0bin,self
0widthnonjoiner,0widthnonjoiner,self
0x29A,0x29a,self
0x29C,0x29c,self
0x42,0x42,self
0x80070050,0x80070050,self
-1,1,self
1+,1+,self
1=0,1-0,self
1 1,1-1,self
1 8 1 8 1,1-8-1-8-1,self
1 Billion Row Challenge,1-billion-row-challenge,self
