extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,sample_lang
.4dm,1,0,1,0,0,4D
.4dproject,1,0,1,0,0,JSON
.4gl,1,0,1,0,0,Genero 4gl
.4th,1,1,1,0,1,Forth
.6pl,1,1,1,0,0,Raku
.6pm,1,1,1,0,0,Raku
.8xp,1,0,1,0,0,TI Program
._coffee,1,1,1,1,0,CoffeeScript
._js,1,1,1,1,0,JavaScript
._ls,1,1,1,0,0,LiveScript
.a51,1,0,1,0,1,Assembely
.abap,1,1,1,1,0,ABAP
.abnf,1,1,1,0,0,ABNF
.action,1,0,1,0,0,ROS Interface
.ada,1,1,1,0,0,Ada
.adb,1,1,1,0,0,Ada
.adml,1,1,1,0,0,XML
.admx,1,1,1,0,0,XML
.ado,1,1,1,1,0,Stata
.adoc,1,1,1,0,0,AsciiDoc
.adp,1,1,1,1,0,Tcl
.ads,1,1,1,0,0,Ada
.afm,1,1,1,0,0,Adobe Font Metrics
.agc,1,1,1,0,1,Apollo Guidance Computer
.agda,1,1,1,0,0,Agda
.ahk,1,1,1,1,0,AutoHotkey
.ahkl,1,1,1,1,0,AutoHotkey
.aidl,1,0,1,0,0,AIDL
.aj,1,1,1,0,0,AspectJ
.ak,1,0,1,0,0,Aiken
.als,1,0,1,0,0,Alloy
.ampl,1,1,1,1,0,AMPL
.angelscript,1,1,1,1,0,AngelScript
.anim,1,1,1,0,0,Unity3D Asset
.ant,1,1,1,0,0,XML
.apacheconf,1,1,1,0,0,ApacheConf
.apex,1,1,1,0,0,Apex
.apib,1,1,1,0,0,API Blueprint
.apl,1,1,1,0,1,APL
.app,1,1,1,0,0,Erlang
.applescript,1,1,1,1,0,AppleScript
.arc,1,1,1,0,0,Arc
.arpa,1,0,1,0,0,DNS Zone
.arr,1,1,1,0,0,Pyret
.asax,1,1,1,0,0,ASP.NET
.asciidoc,1,1,1,0,0,AsciiDoc
.ascx,1,1,1,0,0,ASP.NET
.asd,1,1,1,1,0,Common Lisp
.asddls,1,0,1,0,0,ABAP CDS
.ashx,1,1,1,0,0,ASP.NET
.asl,1,0,1,0,0,ASL
.asmx,1,1,1,0,0,ASP.NET
.asn,1,1,1,0,0,ASN.1
.asn1,1,1,1,0,0,ASN.1
.asp,1,0,1,0,0,Classic ASP
.aspx,1,1,1,0,0,ASP.NET
.asset,1,1,1,0,0,Unity3D Asset
.astro,1,1,1,0,0,Astro
.au3,1,1,1,1,0,AutoIt
.aug,1,1,1,0,0,Augeas
.auk,1,1,1,1,0,Awk
.aux,1,1,1,1,0,TeX
.avdl,1,0,1,0,0,Avro IDL
.avsc,1,0,1,0,0,JSON
.aw,1,1,1,1,0,PHP
.awk,1,1,1,1,0,Awk
.axaml,1,1,1,0,0,XML
.axd,1,1,1,0,0,ASP.NET
.axi,1,1,1,0,0,NetLinx
.axml,1,1,1,0,0,XML
.axs,1,1,1,0,0,NetLinx
.bal,1,1,1,0,0,Ballerina
.bash,1,0,1,0,0,Shell
.bat,1,0,1,1,0,Batch file
.bats,1,0,1,0,0,Shell
.bbappend,1,1,1,0,0,BitBake
.bbclass,1,1,1,0,0,BitBake
.bbx,1,1,1,1,0,TeX
.bdf,1,1,1,0,0,Glyph Bitmap Distribution Format
.bdy,1,0,1,0,0,PLSQL
.be,1,1,1,0,0,Berry
.befunge,1,1,1,0,1,Befunge
.bi,1,1,1,0,0,FreeBASIC
.bib,1,1,1,0,0,BibTeX
.bibtex,1,1,1,0,0,BibTeX
.bicep,1,0,1,0,0,Bicep
.bicepparam,1,0,1,0,0,Bicep
.bison,1,1,1,0,0,Bison
.blade,1,1,1,0,0,Blade
.bmx,1,1,1,0,0,BlitzMax
.bones,1,1,1,1,0,JavaScript
.boo,1,1,1,0,0,Boo
.boot,1,1,1,1,0,Clojure
.bpl,1,1,1,0,0,Boogie
.bqn,1,1,1,0,1,BQN
.bro,1,1,1,0,0,Zeek
.brs,1,0,1,0,0,Brightscript
.bru,1,0,1,0,0,Bru
.bsl,1,1,1,0,0,1C Enterprise
.bsv,1,1,1,0,0,Bluespec
.builder,1,1,1,0,0,Ruby
.builds,1,1,1,0,0,XML
.bzl,1,1,1,0,0,Starlark
.c,1,1,1,1,1,C
